match_id,tournament_year,match_date,match,home_team,away_team,predicted_result,predicted_result_team,actual_result,actual_result_team,home_probability,draw_probability,away_probability,confidence_score,upset_probability,market_favorite,market_favorite_team,model_favorite,model_favorite_team,is_conflict_match,error_types,A_hot_favorite_upset,B_draw_misread,C_market_model_aligned_failure,D_market_model_conflict_failure,E_high_confidence_failure,F_low_confidence_failure,research_priority
284,2018,2018-06-22T20:00:00,Serbia vs Switzerland,Serbia,Switzerland,Draw,Draw,Away Win,Switzerland,33.03,31.74,35.23,31.74,64.77,Away Win,Switzerland,Away Win,Switzerland,False,平局判断失败; 模型与市场一致但仍失败; 低信心失败,False,True,True,False,False,True,381
301,2018,2018-06-24T20:00:00,Japan vs Senegal,Japan,Senegal,Away Win,Senegal,Draw,Draw,29.66,27.51,42.83,42.83,57.17,Away Win,Senegal,Away Win,Senegal,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,2985
262,2018,2018-06-25T17:00:00,Saudi Arabia vs Egypt,Saudi Arabia,Egypt,Away Win,Egypt,Home Win,Saudi Arabia,27.8,27.32,44.88,44.88,55.12,Away Win,Egypt,Away Win,Egypt,False,热门球队爆冷; 模型与市场一致但仍失败; 低信心失败,True,False,True,False,False,True,3003
268,2018,2018-06-25T20:00:00,Spain vs Morocco,Spain,Morocco,Home Win,Spain,Draw,Draw,49.73,23.59,26.68,49.73,50.27,Home Win,Spain,Home Win,Spain,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,3047
267,2018,2018-06-25T21:00:00,Iran vs Portugal,Iran,Portugal,Away Win,Portugal,Draw,Draw,24.56,23.44,51.99,51.99,48.01,Away Win,Portugal,Away Win,Portugal,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败,True,True,True,False,False,False,3067
273,2018,2018-06-26T17:00:00,Denmark vs France,Denmark,France,Away Win,France,Draw,Draw,29.65,27.26,43.09,43.09,56.91,Away Win,France,Away Win,France,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,2986
280,2018,2018-06-26T21:00:00,Iceland vs Croatia,Iceland,Croatia,Draw,Draw,Away Win,Croatia,25.82,30.28,43.9,30.28,56.1,Away Win,Croatia,Away Win,Croatia,False,平局判断失败; 模型与市场一致但仍失败; 低信心失败,False,True,True,False,False,True,358
291,2018,2018-06-27T17:00:00,South Korea vs Germany,South Korea,Germany,Away Win,Germany,Home Win,South Korea,17.16,19.82,63.03,63.03,36.97,Away Win,Germany,Away Win,Germany,False,热门球队爆冷; 模型与市场一致但仍失败,True,False,True,False,False,False,3166
286,2018,2018-06-27T21:00:00,Switzerland vs Costa Rica,Switzerland,Costa Rica,Home Win,Switzerland,Draw,Draw,39.05,28.82,32.13,39.05,60.95,Home Win,Switzerland,Home Win,Switzerland,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,2950
297,2018,2018-06-28T20:00:00,England vs Belgium,England,Belgium,Home Win,England,Away Win,Belgium,38.91,28.65,32.44,38.91,61.09,Home Win,England,Home Win,England,False,热门球队爆冷; 模型与市场一致但仍失败; 低信心失败,True,False,True,False,False,True,2950
321,2022,2022-11-20T19:00:00,Qatar vs Ecuador,Qatar,Ecuador,Draw,Draw,Away Win,Ecuador,34.41,31.02,34.57,31.02,65.43,Away Win,Ecuador,Away Win,Ecuador,False,平局判断失败; 模型与市场一致但仍失败; 低信心失败,False,True,True,False,False,True,375
333,2022,2022-11-22T13:00:00,Argentina vs Saudi Arabia,Argentina,Saudi Arabia,Home Win,Argentina,Away Win,Saudi Arabia,59.77,20.22,20.01,59.77,40.23,Home Win,Argentina,Home Win,Argentina,False,热门球队爆冷; 模型与市场一致但仍失败,True,False,True,False,False,False,3137
339,2022,2022-11-22T16:00:00,Denmark vs Tunisia,Denmark,Tunisia,Home Win,Denmark,Draw,Draw,46.54,24.83,28.63,46.54,53.46,Home Win,Denmark,Home Win,Denmark,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,3018
334,2022,2022-11-22T19:00:00,Mexico vs Poland,Mexico,Poland,Home Win,Mexico,Draw,Draw,36.13,29.29,34.58,36.13,63.87,Home Win,Mexico,Home Win,Mexico,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,2924
351,2022,2022-11-23T13:00:00,Morocco vs Croatia,Morocco,Croatia,Away Win,Croatia,Draw,Draw,27.96,28.14,43.9,43.9,56.1,Away Win,Croatia,Away Win,Croatia,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,2995
345,2022,2022-11-23T16:00:00,Germany vs Japan,Germany,Japan,Home Win,Germany,Away Win,Japan,54.5,22.57,22.92,54.5,45.5,Home Win,Germany,Home Win,Germany,False,热门球队爆冷; 模型与市场一致但仍失败,True,False,True,False,False,False,3090
363,2022,2022-11-24T16:00:00,Uruguay vs South Korea,Uruguay,South Korea,Home Win,Uruguay,Draw,Draw,47.46,24.34,28.2,47.46,52.54,Home Win,Uruguay,Home Win,Uruguay,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,3026
329,2022,2022-11-25T13:00:00,Wales vs Iran,Wales,Iran,Draw,Draw,Away Win,Iran,41.06,32.92,26.02,32.92,58.94,Home Win,Wales,Home Win,Wales,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,2887
324,2022,2022-11-25T19:00:00,Netherlands vs Ecuador,Netherlands,Ecuador,Home Win,Netherlands,Draw,Draw,53.31,22.06,24.63,53.31,46.69,Home Win,Netherlands,Home Win,Netherlands,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败,True,True,True,False,False,False,3079
330,2022,2022-11-25T22:00:00,England vs USA,England,USA,Home Win,England,Draw,Draw,46.5,25.77,27.73,46.5,53.5,Home Win,England,Home Win,England,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,3018
341,2022,2022-11-26T13:00:00,Tunisia vs Australia,Tunisia,Australia,Home Win,Tunisia,Away Win,Australia,37.48,29.63,32.89,37.48,62.52,Home Win,Tunisia,Home Win,Tunisia,False,热门球队爆冷; 模型与市场一致但仍失败; 低信心失败,True,False,True,False,False,True,2936
347,2022,2022-11-27T13:00:00,Japan vs Costa Rica,Japan,Costa Rica,Draw,Draw,Away Win,Costa Rica,37.53,30.2,32.27,30.2,62.47,Home Win,Japan,Home Win,Japan,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,2864
353,2022,2022-11-27T16:00:00,Belgium vs Morocco,Belgium,Morocco,Home Win,Belgium,Away Win,Morocco,47.27,24.88,27.85,47.27,52.73,Home Win,Belgium,Home Win,Belgium,False,热门球队爆冷; 模型与市场一致但仍失败; 低信心失败,True,False,True,False,False,True,3024
348,2022,2022-11-27T22:00:00,Spain vs Germany,Spain,Germany,Away Win,Germany,Draw,Draw,32.46,29.97,37.57,37.57,67.54,Home Win,Spain,Away Win,Germany,True,热门球队爆冷; 平局判断失败; 模型与市场冲突且失败; 低信心失败,True,True,False,True,False,True,7942
366,2022,2022-11-28T22:00:00,Portugal vs Uruguay,Portugal,Uruguay,Draw,Draw,Home Win,Portugal,36.69,30.44,32.88,30.44,63.31,Home Win,Portugal,Home Win,Portugal,False,平局判断失败; 模型与市场一致但仍失败; 低信心失败,False,True,True,False,False,True,367
332,2022,2022-11-29T22:00:00,Iran vs USA,Iran,USA,Draw,Draw,Away Win,USA,29.74,31.6,38.66,31.6,61.34,Away Win,USA,Away Win,USA,False,平局判断失败; 模型与市场一致但仍失败; 低信心失败,False,True,True,False,False,True,377
343,2022,2022-11-30T18:00:00,Australia vs Denmark,Australia,Denmark,Away Win,Denmark,Home Win,Australia,28.35,26.54,45.11,45.11,54.89,Away Win,Denmark,Away Win,Denmark,False,热门球队爆冷; 模型与市场一致但仍失败; 低信心失败,True,False,True,False,False,True,3005
344,2022,2022-11-30T18:00:00,Tunisia vs France,Tunisia,France,Away Win,France,Home Win,Tunisia,20.96,21.27,57.77,57.77,42.23,Away Win,France,Away Win,France,False,热门球队爆冷; 模型与市场一致但仍失败,True,False,True,False,False,False,3119
355,2022,2022-12-01T18:00:00,Croatia vs Belgium,Croatia,Belgium,Home Win,Croatia,Draw,Draw,35.98,28.91,35.11,35.98,64.89,Away Win,Belgium,Home Win,Croatia,True,热门球队爆冷; 平局判断失败; 模型与市场冲突且失败; 低信心失败,True,True,False,True,False,True,7923
356,2022,2022-12-01T18:00:00,Canada vs Morocco,Canada,Morocco,Draw,Draw,Away Win,Morocco,26.47,30.45,43.08,30.45,56.92,Away Win,Morocco,Away Win,Morocco,False,平局判断失败; 模型与市场一致但仍失败; 低信心失败,False,True,True,False,False,True,360
349,2022,2022-12-01T22:00:00,Japan vs Spain,Japan,Spain,Away Win,Spain,Home Win,Japan,26.35,24.23,49.42,49.42,50.58,Away Win,Spain,Away Win,Spain,False,热门球队爆冷; 模型与市场一致但仍失败; 低信心失败,True,False,True,False,False,True,3044
368,2022,2022-12-02T18:00:00,South Korea vs Portugal,South Korea,Portugal,Away Win,Portugal,Home Win,South Korea,25.82,23.45,50.73,50.73,49.27,Away Win,Portugal,Away Win,Portugal,False,热门球队爆冷; 模型与市场一致但仍失败,True,False,True,False,False,False,3056
362,2022,2022-12-02T22:00:00,Cameroon vs Brazil,Cameroon,Brazil,Away Win,Brazil,Home Win,Cameroon,18.67,20.4,60.93,60.93,39.07,Away Win,Brazil,Away Win,Brazil,False,热门球队爆冷; 模型与市场一致但仍失败,True,False,True,False,False,False,3148
